cc6b743,Harold Hodgins,11 hours ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
cb764e3,Harold Hodgins,11 hours ago,Courses sorting by Semester and Year working in Python
e9ef340,Sumeet Jhand,15 hours ago,Added put grades unit test to GradeItemTest.py
3d7c539,Sumeet Jhand,15 hours ago,Fixed a bug that broke searching by ID
d768437,Sumeet Jhand,16 hours ago,First item of dynamic search is now always selected
45b1259,Harold Hodgins,18 hours ago,Sorting Courses 'works' but can't really test since they all have no start/end date
a23bd0f,Harold Hodgins,18 hours ago,get_courses updated to use my_enrollments
eb38f34,Lucas Boulanger,31 hours ago,grade_functions.py: updated parse csv to better reflect PHP version
60dbae2,Lucas Boulanger,32 hours ago,app.py: Updated upgrade max to check for new_max <= current max. Updated some comments
6f5f357,Lucas Boulanger,33 hours ago,Doc images now work in php and python (if someone has a better solution, please change)
063e091,Troy Nechanicky,2 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
5fbd410,Troy Nechanicky,2 days ago,upload.js: fixed bug where updating max didn't work if clicked on button on upload page
6f40b87,shuaibr,3 days ago,Changes to help doc, updated images and added more descriptions
9ebd7dc,Troy Nechanicky,3 days ago,updated test files
2cfb5f0,shuaibr,3 days ago,Update- Changes to help doc
c7ce95d,shuaibr,3 days ago,Changes to Help Doc
c59431f,LucBoulanger,3 days ago,dynamic_search.js: added message when student removed from manual grade entry.
2befebb,LucBoulanger,4 days ago,python_upload.js: fixed uncaught error when no file uploaded to python app. index.html: ixed import error on easy_autocomlete.css
c2b3315,Simon Phothitay,4 days ago,Updated Grade.py comment blocks to follow coding standards and made small changes to API.py and Course.py comment blocks for consistency.
1d6415c,markomihailovic,4 days ago,fixed spacing
d731d0a,Hind-Althabi,4 days ago,Updated version number of help doc. in python and add reference links to MLS
cccaa28,Troy Nechanicky,4 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
e17e277,Troy Nechanicky,4 days ago,upload.js: fixed uncaught error when no file uploaded.
b6fd6f9,LucBoulanger,4 days ago,Fixed python update max grade again cause I broke it earlier
34b32f1,LucBoulanger,4 days ago,Made python error_checking() more in line with PHP version. Updated python_upload.js to reflect changes.
092cb7d,LucBoulanger,5 days ago,Python file upload now works
58db160,LucBoulanger,5 days ago,Python manual upload works again
f6bc0a0,JRomero300,5 days ago,update blog_post.txt - fixed errors
a4384e1,malthibeh,5 days ago,Made logo Clickable
da60315,LucBoulanger,5 days ago,updated upload.html to match PHP. fixed small errors in python_upload.js and upload.html that prevented changing max grade from working properly
303acb5,JRomero300,5 days ago,Blogpost - Ezmarker description, Brightspace advice
d9e94af,markomihailovic,5 days ago,Update blog_post.txt
5deb420,markomihailovic,5 days ago,Update blog_post.txt
e337c59,markomihailovic,5 days ago,Create blog_post.txt
9ab2b76,LucBoulanger,5 days ago,documentation pages now display header properly in python.
90a013e,Troy Nechanicky,5 days ago,dynamic_search.js: added msg when all students added and when all students removed
3d52ee5,Troy Nechanicky,5 days ago,upload.js: fixed typo that prevented setting of max on upload page
672633d,Hind-Althabi,6 days ago,Python help doc. fixed image border.
79d0b8d,pirajeev_prabaharan,6 days ago,Repushed Fixes to CourseTest, didnt show up as me previously
6571042,pirajeev_prabaharan,6 days ago,Revert "Revert "Update to CourseTest.py""
47dca90,pirajeev_prabaharan,6 days ago,Revert "Update to CourseTest.py"
f5f0547,pirajeev_prabaharan,6 days ago,Update to CourseTest.py
813cbe5,Sophie Wang,6 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
82abc4e,Sophie Wang,6 days ago,Updated position in SPMP
17e2f99,LucBoulanger,6 days ago,home.html now accessible in python app, doc pages now accessibleish (no header for now)
a70fb27,LucBoulanger,6 days ago,Reverted additions made yesterday, made python course page look same as a PHP course page.
40360ae,LucBoulanger,6 days ago,added error checking to app.py's help()
42f17cf,LucBoulanger,6 days ago,help page now displays properly with header in python app
d8c5ea0,LucBoulanger,6 days ago,Working link to help page from python app. Doesn't have header tho
0e16ca0,Hind-Althabi,6 days ago,help doc. , update manual and automated upload and change the images tag
38fd058,LucBoulanger,6 days ago,added back stuff to accordion.js so python doesn't get confused again.
943b650,Hind-Althabi,6 days ago,copy php help into html for python
450c9b8,LucBoulanger,7 days ago,Added shit back to home.css, fixing python
526896c,LucBoulanger,7 days ago,more comments to added app.py
a72bd18,Troy Nechanicky,7 days ago,fixed bugs introduced by addition of home page. Fixed logo link.
3e46ef6,Troy Nechanicky,7 days ago,upload.php: page no longer scrolls when refreshed/loaded (turned off storing scroll in cache)
e237f21,Troy Nechanicky,7 days ago,Modified API.php and OrgMember.php  such that they now check config to see if they should filter on role. Useful for testing performance
4e5528e,Troy Nechanicky,7 days ago,Pressing Enter on update max field now launches confirmation pop-up. Can now select buttons on pop-up using arrow keys. Pressing Enter on other fields no longer causes page reload. Added success msg when added student from search. Added error msg when try to add student that is already there. Fixed bug where clicking X on modal wouldn't close it.
c2701cd,Troy Nechanicky,8 days ago,grade_functions.php: no error if last line blank (common occurence if editing through Excel). Now also checks to make sure id,grade,name entered. Modified test csv to test changes
b1e8bc4,Troy Nechanicky,8 days ago,elements.css: made msgs left-justified. was center, looked bad when had long and short msgs together.
32b6f48,Troy Nechanicky,8 days ago,grade_functions.php and upload.js: added check for duplicate students. Duplicate and not-in-course errors now also show line#.  Also added duplicate to test file.
cedd5b5,simity,8 days ago,Feedback pattern has been removed from Grade.php, since it is not used
2286b96,Troy Nechanicky,8 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
2ec7bfa,Troy Nechanicky,8 days ago,grade_functions.php: parse_file: if bad line, msg now shows contents of line instead of format msg. error_checking: if student not in course, new error type that tells upload.sendToErrorChecking not to launch modal, instead displays like file error (other types of errors not displayed in this case). upload.js: now displays all file errors on upload page. If detects errors for bad format (for not all lines) then displays proper format as first msg, then displays line errors. Also fixed upload page not updating if max updated to decimal. Also added additional comments for clarity.
b841249,Troy Nechanicky,8 days ago,added better test files for harold hodgins test course.
74d8e12,Troy Nechanicky,8 days ago,upload.php: changed field types to "text". Small issues caused by type "number", not worth effort to fix since not supporting mobile.
9b15e98,Troy Nechanicky,8 days ago,file_parse.php: error if empty file
